이름,성별,국적,언어
최시우,남,한국인,영어
김소희,여,한국인,일본어
강예준,남,한국인,영어
田中美咲,여,외국인,일본어
윤지호,남,한국인,영어
박준혁,남,한국인,일본어
장우진,남,한국인,영어
鈴木大輔,남,외국인,일본어
임서준,남,한국인,영어
이채원,여,한국인,일본어
한지우,남,한국인,영어
高橋さくら,여,외국인,일본어
정수빈,여,한국인,영어
정민재,남,한국인,일본어
한예은,여,한국인,영어
渡辺翔太,남,외국인,일본어
강민서,여,한국인,영어
최유나,여,한국인,일본어
윤지안,남,한국인,영어
伊藤結衣,여,외국인,일본어
박도현,남,한국인,영어
강태윤,남,한국인,일본어
이서윤,여,한국인,영어
山本陽菜,여,외국인,일본어
최하준,남,한국인,영어
윤서아,여,한국인,일본어
정아윤,여,한국인,영어
中村颯人,남,외국인,일본어
한지훈,남,한국인,영어
박현우,남,한국인,일본어
강서진,여,한국인,영어
小林凛,여,외국인,일본어
한수민,여,한국인,영어
이다은,여,한국인,일본어
강동현,남,한국인,영어
加藤蓮,남,외국인,일본어
윤채영,여,한국인,영어
김태현,남,한국인,일본어
박민성,남,한국인,영어
松田悠斗,남,외국인,일본어
이하율,여,한국인,영어
김민지,여,한국인,일본어
정승우,남,한국인,영어
井上葵,여,외국인,일본어
최예린,여,한국인,영어
박성현,남,한국인,일본어
한태민,남,한국인,영어
森本蒼空,남,외국인,일본어
강나윤,여,한국인,영어
이지유,여,한국인,일본어
윤준서,남,한국인,영어
木村心春,여,외국인,일본어
정지아,여,한국인,영어
정재윤,남,한국인,일본어
Sarah Johnson,여,외국인,영어
林陽翔,남,외국인,일본어
Michael Chen,남,외국인,영어
최서현,여,한국인,일본어
Emma Wilson,여,외국인,영어
清水美月,여,외국인,일본어
David Kim,남,외국인,영어
강민규,남,한국인,일본어
Olivia Brown,여,외국인,영어
山田莉子,여,외국인,일본어
Sophia Lee,여,외국인,영어
윤하린,여,한국인,일본어
Isabella Garcia,여,외국인,영어
吉田湊,남,외국인,일본어
Mia Martinez,여,외국인,영어
박지환,남,한국인,일본어
Charlotte Rodriguez,여,외국인,영어
斎藤花,여,외국인,일본어
Amelia Anderson,여,외국인,영어
이수아,여,한국인,일본어
James Taylor,남,외국인,영어
岡田悠真,남,외국인,일본어
William Thomas,남,외국인,영어
김지원,남,한국인,일본어
Benjamin White,남,외국인,영어
박시현,여,한국인,일본어
