이름,성별,국적,언어
Lucas Harris,남,외국인,영어
이건우,남,한국인,일본어
Ava Martin,여,외국인,영어
김유진,여,한국인,일본어
Harper Thompson,여,외국인,영어
정태양,남,한국인,일본어
Ethan Moore,남,외국인,영어
최민아,여,한국인,일본어
Ella Jackson,여,외국인,영어
한다인,여,한국인,일본어
Alexander Lee,남,외국인,영어
강소윤,여,한국인,일본어
Lily Walker,여,외국인,영어
윤태희,남,한국인,일본어
Noah Davis,남,외국인,영어
박예나,여,한국인,일본어
Emily Miller,여,외국인,영어
이준호,남,한국인,일본어
Oliver Wilson,남,외국인,영어
田村陽太,남,외국인,일본어
Sophia Moore,여,외국인,영어
中島結菜,여,외국인,일본어
Liam Taylor,남,외국인,영어
山崎颯,남,외국인,일본어
Ava Anderson,여,외국인,영어
橋本愛莉,여,외국인,일본어
Mason Thomas,남,외국인,영어
石川大和,남,외국인,일본어
Isabella Jackson,여,외국인,영어
前田咲良,여,외국인,일본어
Lucas Martin,남,외국인,영어
藤井蒼介,남,외국인,일본어
Mia White,여,외국인,영어
村上心優,여,외국인,일본어
김민준,남,한국인,영어
小川陸斗,남,외국인,일본어
박서윤,여,한국인,영어
西村美桜,여,외국인,일본어
이도윤,남,한국인,영어
佐藤健,남,외국인,일본어
정하은,여,한국인,영어
김소희,여,한국인,일본어
최시우,남,한국인,영어
田中美咲,여,외국인,일본어
강예준,남,한국인,영어
박준혁,남,한국인,일본어
윤지호,남,한국인,영어
鈴木大輔,남,외국인,일본어
장우진,남,한국인,영어
이채원,여,한국인,일본어
임서준,남,한국인,영어
高橋さくら,여,외국인,일본어
한지우,남,한국인,영어
정민재,남,한국인,일본어
정수빈,여,한국인,영어
渡辺翔太,남,외국인,일본어
한예은,여,한국인,영어
최유나,여,한국인,일본어
강민서,여,한국인,영어
伊藤結衣,여,외국인,일본어
윤지안,남,한국인,영어
강태윤,남,한국인,일본어
박도현,남,한국인,영어
山本陽菜,여,외국인,일본어
이서윤,여,한국인,영어
윤서아,여,한국인,일본어
최하준,남,한국인,영어
中村颯人,남,외국인,일본어
정아윤,여,한국인,영어
박현우,남,한국인,일본어
한지훈,남,한국인,영어
小林凛,여,외국인,일본어
강서진,여,한국인,영어
이다은,여,한국인,일본어
Sarah Johnson,여,외국인,영어
加藤蓮,남,외국인,일본어
Michael Chen,남,외국인,영어
김태현,남,한국인,일본어
Emma Wilson,여,외국인,영어
松田悠斗,남,외국인,일본어
David Kim,남,외국인,영어
김민지,여,한국인,일본어
